year,fall,count
1399,Fell,1
1399,Found,0
1490,Fell,1
1490,Found,0
1491,Fell,1
1491,Found,0
1495,Fell,1
1495,Found,0
1519,Fell,1
1519,Found,0
1575,Fell,0
1575,Found,1
1583,Fell,1
1583,Found,0
1600,Fell,0
1600,Found,1
1621,Fell,1
1621,Found,0
1623,Fell,1
1623,Found,0
1628,Fell,1
1628,Found,0
1632,Fell,1
1632,Found,0
1636,Fell,1
1636,Found,0
1637,Fell,1
1637,Found,0
1647,Fell,1
1647,Found,0
1654,Fell,1
1654,Found,0
1662,Fell,1
1662,Found,0
1668,Fell,1
1668,Found,0
1671,Fell,1
1671,Found,0
1688,Fell,1
1688,Found,0
1704,Fell,1
1704,Found,0
1715,Fell,1
1715,Found,0
1716,Fell,0
1716,Found,1
1723,Fell,1
1723,Found,0
1724,Fell,0
1724,Found,1
1740,Fell,1
1740,Found,0
1741,Fell,1
1741,Found,0
1749,Fell,0
1749,Found,1
1750,Fell,1
1750,Found,0
1751,Fell,1
1751,Found,0
1753,Fell,2
1753,Found,0
1766,Fell,1
1766,Found,0
1768,Fell,2
1768,Found,0
1769,Fell,1
1769,Found,0
1773,Fell,1
1773,Found,0
1775,Fell,2
1775,Found,0
1776,Fell,0
1776,Found,1
1779,Fell,1
1779,Found,0
1781,Fell,0
1781,Found,1
1784,Fell,0
1784,Found,2
1785,Fell,1
1785,Found,0
1787,Fell,1
1787,Found,0
1790,Fell,1
1790,Found,0
1791,Fell,1
1791,Found,0
1792,Fell,0
1792,Found,1
1793,Fell,0
1793,Found,1
1794,Fell,1
1794,Found,0
1795,Fell,2
1795,Found,0
1796,Fell,2
1796,Found,0
1797,Fell,0
1797,Found,1
1798,Fell,2
1798,Found,0
1801,Fell,1
1801,Found,0
1803,Fell,3
1803,Found,0
1804,Fell,3
1804,Found,3
1805,Fell,2
1805,Found,1
1806,Fell,1
1806,Found,0
1807,Fell,2
1807,Found,0
1808,Fell,4
1808,Found,1
1809,Fell,1
1809,Found,0
1810,Fell,3
1810,Found,2
1811,Fell,3
1811,Found,0
1812,Fell,4
1812,Found,0
1813,Fell,2
1813,Found,0
1814,Fell,4
1814,Found,1
1815,Fell,2
1815,Found,0
1817,Fell,1
1817,Found,0
1818,Fell,3
1818,Found,2
1819,Fell,2
1819,Found,1
1820,Fell,1
1820,Found,0
1821,Fell,1
1821,Found,0
1822,Fell,6
1822,Found,2
1823,Fell,2
1823,Found,0
1824,Fell,3
1824,Found,0
1825,Fell,2
1825,Found,1
1826,Fell,3
1826,Found,0
1827,Fell,3
1827,Found,0
1828,Fell,1
1828,Found,1
1829,Fell,3
1829,Found,1
1830,Fell,2
1830,Found,0
1831,Fell,2
1831,Found,0
1832,Fell,0
1832,Found,1
1833,Fell,1
1833,Found,0
1834,Fell,2
1834,Found,1
1835,Fell,2
1835,Found,0
1836,Fell,3
1836,Found,2
1837,Fell,3
1837,Found,2
1838,Fell,5
1838,Found,2
1839,Fell,1
1839,Found,4
1840,Fell,3
1840,Found,4
