recclass,count,rank
L6,8285,1
H5,7142,2
L5,4796,3
H6,4528,4
H4,4211,5
LL5,2766,6
LL6,2043,7
L4,1253,8
H4/5,428,9
CM2,416,10
H3,386,11
L3,365,12
CO3,335,13
Ureilite,300,14
"Iron, IIIAB",285,15
LL4,268,16
CV3,256,17
Diogenite,241,18
Howardite,240,19
LL,225,20
Eucrite,221,21
Eucrite-pmict,207,22
E3,206,23
H5/6,193,24
Mesosiderite,137,25
CR2,135,26
LL3,128,27
EH3,120,28
"Iron, IIAB",118,29
"Iron, ungrouped",113,30
H~5,111,31
L5/6,109,32
Eucrite-mmict,108,33
Martian (shergottite),99,34
Iron,94,35
CK5,94,36
L~6,94,37
L3.5,88,38
H,84,39
"Iron, IAB-MG",84,40
Eucrite-br,80,41
OC,79,42
H3.8,76,43
CK4,75,44
H3.7,75,45
EL6,72,46
"Iron, IVA",69,47
Lunar (anorth),69,48
H4-6,67,49
L3.8,66,50
Relict OC,65,51
Aubrite,63,52
H5-6,63,53
L4/5,59,54
Achondrite-ung,57,55
Acapulcoite,54,56
L6 ,54,57
LL-melt breccia,54,58
"Iron, IAB complex",54,59
L3.4,51,60
L,50,61
Stone-uncl,50,62
L3.7,49,63
LL5/6,48,64
L3.6,48,65
H4-5,47,66
"Iron, IAB-ung",46,67
H3-6,43,68
H3.9,43,69
R4,42,70
H3.6,42,71
Lunar,41,72
L5-6,41,73
Lodranite,40,74
LL5-6,40,75
H3-5,39,76
"Pallasite, PMG",38,77
H3/4,35,78
Pallasite,35,79
LL4-6,34,80
L4-6,33,81
Brachinite,33,82
L3-6,32,83
Eucrite-unbr,32,84
L~5,32,85
LL3.8,28,86
"Iron, IAB-sLL",28,87
Lunar (feldsp. breccia),27,88
L3.9,27,89
L/LL3,26,90
Eucrite-cm,26,91
LL3.7,26,92
L/LL6,26,93
L-imp melt,25,94
Winonaite,25,95
L4-5,24,96
Ureilite-pmict,23,97
H~6,22,98
LL7,22,99
H5 ,22,100
Angrite,21,101
L5 ,21,102
CH3,21,103
L7,21,104
L-melt rock,21,105
R5,20,106
L/LL4,20,107
LL3.4,20,108
"Iron, IID",19,109
EL3,19,110
CM1,19,111
H~4,18,112
CM1/2,18,113
H3.5,18,114
EH4,18,115
"Iron, IAB-sHL",17,116
LL3.5,17,117
LL3.6,17,118
CK6,17,119
L3.3,17,120
H3.4,16,121
Lunar (basalt),16,122
LL3.9,16,123
L/LL5,16,124
L3.2,15,125
R3,15,126
Chondrite-ung,15,127
LL3.3,15,128
"Iron, IVB",14,129
Martian (nakhlite),14,130
C2-ung,14,131
L-melt breccia,14,132
"Iron, IIIE",14,133
LL3.2,14,134
"Iron, IIE",14,135
EL4,13,136
CK3,13,137
L3.1,13,138
L3-5,13,139
H/L4,13,140
L3/4,12,141
H7,12,142
C3-ung,12,143
CO3.5,12,144
CK4/5,12,145
H-imp melt,11,146
H/L6,11,147
Diogenite-pm,11,148
H4 ,11,149
"Pallasite, PMG-an",11,150
"Iron, IC",10,151
R3-6,10,152
LL4-5,10,153
"Iron, IAB-sLM",10,154
L~4,10,155
L6-melt breccia,10,156
H4-an,10,157
H3-4,10,158
LL~5,9,159
Diogenite-olivine,9,160
R3.8,9,161
Achondrite-prim,9,162
E6,9,163
L3.8-6,9,164
"Iron, IIIF",9,165
CI1,9,166
"Iron, IAB-sLH",9,167
L6/7,9,168
EH4/5,9,169
LL3-6,9,170
R6,9,171
CB,8,172
"Iron, IIC",8,173
CO3.2,8,174
OC3,8,175
CR,8,176
H-melt rock,8,177
C,8,178
Unknown,7,179
CO3.3,7,180
CO3.6,7,181
H3.3,7,182
"Iron, IIE-an",7,183
E,7,184
Mesosiderite-C,7,185
LL(L)3,7,186
LL-melt rock,7,187
H/L5,7,188
Acapulcoite/Lodranite,6,189
EH5,6,190
EL5,6,191
Mesosiderite-A1,6,192
CK5/6,6,193
R3-5,6,194
H-metal,6,195
E3-an,6,196
"Iron, IVA-an",6,197
"Iron, IIF",6,198
LL3.1,6,199
Mesosiderite-an,6,200
"Iron, IIG",6,201
Aubrite-an,6,202
Lunar (gabbro),6,203
EH-imp melt,6,204
CO3.1,6,205
H/L3,6,206
H4/6,6,207
L-metal,5,208
"Iron, IAB-sHH",5,209
L/LL5/6,5,210
L(LL)3,5,211
Mesosiderite-B2,5,212
E-an,5,213
EH6,5,214
CO3.4,5,215
E5,5,216
LL4/5,5,217
"Pallasite, ungrouped",5,218
CBb,5,219
LL~6,5,220
H3.9/4,5,221
CBa,5,222
"Iron, IAB?",4,223
CM,4,224
Fusion crust,4,225
H5-melt breccia,4,226
H3.9-6,4,227
Mesosiderite-B1,4,228
"Pallasite, PES",4,229
CO3.0,4,230
Eucrite-Mg rich,4,231
"Iron, IIIAB?",4,232
CV3-an,4,233
Chondrite-fusion crust,4,234
R3.8-6,4,235
L3-4,4,236
H-an,4,237
LL6/7,4,238
Ureilite-an,4,239
R3.9,4,240
H-melt breccia,4,241
L/LL3.4,4,242
E4,4,243
LL3.0,4,244
Mesosiderite-B,4,245
CO3.8,3,246
R3.6,3,247
CK4-an,3,248
Acapulcoite/lodranite,3,249
H3.0,3,250
Enst achon-ung,3,251
R,3,252
L/LL3-5,3,253
C4-ung,3,254
Mesosiderite-A2,3,255
Diogenite-an,3,256
Mesosiderite-B4,3,257
CK,3,258
